Time [s],V_BATT [V],V_5V [V],V_3V3 [V]
128.83,12.25,4.98,3.25
129.13,12.23,5.01,3.29
129.43,12.21,4.98,3.21
129.73,12.23,4.99,3.17
130.03,12.25,4.97,3.21
130.33,12.26,4.98,3.21
130.63,12.25,4.98,3.2
130.93,12.26,4.98,3.19
131.24,12.25,4.98,3.21
131.54,12.26,4.98,3.4
131.84,12.23,4.99,3.13
132.14,12.26,4.97,3.23
132.44,12.17,4.97,3.22
132.74,12.25,5.01,3.16
133.04,12.25,4.99,3.15
133.34,12.26,4.97,3.28
133.64,12.23,4.99,3.25
133.95,12.26,4.97,3.19
134.25,12.25,5.01,3.2
134.55,12.25,4.98,3.2
134.85,12.26,4.99,3.19
135.15,12.25,4.98,3.16
135.45,12.25,4.98,3.3
135.75,12.23,4.99,3.17
136.05,12.23,5.01,3.2
136.35,12.23,4.98,3.19
136.65,12.23,4.99,3.2
136.96,12.25,5.02,3.17
137.26,12.26,4.99,3.18
137.56,12.25,4.98,3.26
137.86,12.25,4.99,3.2
138.16,12.26,4.99,3.18
138.46,12.25,4.98,3.14
138.76,12.23,4.99,3.22
139.06,12.25,4.98,3.14
139.36,12.23,4.99,3.11
139.66,12.25,4.98,3.24
139.96,12.21,4.98,3.16
140.27,12.26,4.99,3.21
140.57,12.25,4.98,3.16
140.87,12.25,5.01,3.22
141.17,12.25,4.95,3.19
141.47,12.23,4.98,3.21
141.77,12.26,4.99,3.24
142.07,12.21,4.97,3.25
142.37,12.23,4.98,3.2
142.67,12.25,4.98,3.14
142.98,12.26,4.99,3.27
143.28,12.25,4.98,3.24
143.58,12.28,4.99,3.19
143.88,12.25,4.98,3.13
144.18,12.23,4.99,3.21
144.48,12.21,4.99,3.13
144.78,12.21,5.01,3.25
145.08,12.23,4.99,3.18
145.38,12.25,4.98,3.16
145.68,12.26,5.02,3.24
145.99,12.26,4.98,3.19
146.29,12.25,4.99,3.22
146.59,12.25,4.98,3.26
146.89,12.25,4.97,3.2
147.19,12.25,4.95,3.14
147.49,12.25,4.99,3.08
147.79,12.25,4.99,3.12
148.09,12.19,4.99,3.19
148.39,12.26,4.98,3.2
148.69,12.25,4.98,3.2
148.99,12.25,4.98,3.62
149.3,12.25,5.01,3.09
149.6,12.26,4.98,3.2
149.9,12.25,4.98,3.19
150.2,12.26,4.99,3.2
150.5,12.28,4.99,3.16
150.8,12.26,4.97,3.14
151.1,12.25,4.99,3.14
151.4,12.23,4.97,3.18
151.7,12.25,4.99,3.22
152.01,12.21,4.98,3.19
152.31,12.26,4.99,3.2
152.61,12.25,4.98,3.23
152.91,12.25,5.07,3.19
153.21,12.25,4.99,3.16
153.51,12.25,5.07,3.25
153.81,12.25,4.98,3.27
154.11,12.23,4.99,3.19
154.41,12.25,4.99,3.18
154.71,12.23,4.99,3.16
155.01,12.25,4.99,3.25
155.32,12.25,4.99,3.24
155.62,12.25,4.98,3.26
155.92,12.25,4.95,3.26
156.22,12.25,4.99,3.19
156.52,12.26,4.98,3.1
156.82,12.23,4.98,3.27
157.12,12.25,4.99,3.25
157.42,12.25,4.99,3.18
157.72,12.25,4.99,3.09
158.02,12.25,4.97,3.22
158.33,12.23,4.99,3.24
158.63,12.25,4.98,3.19
158.93,12.25,4.99,3.14
159.23,12.25,5.01,3.14
159.53,12.28,4.99,3.25
159.83,12.26,4.98,3.24
160.13,12.25,4.99,3.3
160.43,12.21,5.01,3.17
160.73,12.26,4.98,3.21
161.04,12.25,4.98,3.21
161.34,12.25,4.99,3.26
161.64,12.28,5.01,3.17
161.94,12.25,5.01,3.21
162.24,12.26,4.99,3.18
162.54,12.21,5.01,3.22
162.84,12.26,4.99,3.16
163.14,12.25,4.98,3.46
163.44,12.25,5.01,3.16
163.74,12.25,4.97,3.19
164.04,12.26,4.98,3.17
164.35,12.25,4.99,3.24
